Peter	Duncan	Galloway & Upper Nithsdale	£17,982	£0	£18,212	£65,596	£30,183	£947	£1,040	£1,887	£0
Iain	Duncan Smith	Chingford & Woodford Green	£15,740	£1,527	£18,234	£72,243	£0	£0	£3,701	£1,922	£0
Gwyneth	Dunwoody	Crewe & Nantwich	£19,722	£0	£18,218	£49,097	£13,358	£1,518	£1,086	£1,450	£0
Angela	Eagle	Wallasey	£17,207	£246	£17,814	£65,452	£7,990	£480	£820	£1,806	£0
Maria	Eagle	Liverpool, Garston	£16,157	£1,527	£18,130	£61,829	£10,124	£1,531	£549	£1,984	£0
Huw	Edwards	Monmouth	£19,720	£0	£17,169	£65,539	£15,282	£1,474	£897	£1,795	£0
Clive	Efford	Eltham	£0	£1,527	£18,234	£72,029	£2,373	£0	£298	£1,484	£4,768
Louise	Ellman	Liverpool, Riverside	£19,722	£0	£18,234	£65,360	£13,154	£2,488	£1,165	£1,964	£0
Jeff	Ennis	Barnsley East & Mexborough	£11,830	£0	£6,736	£63,450	£10,293	£1,233	£507	£1,805	£0
Bill	Etherington	Sunderland North	£19,722	£0	£18,234	£61,978	£15,823	£2,195	£628	£2,021	£0
Nigel	Evans	Ribble Valley	£19,722	£0	£18,234	£66,665	£28,642	£4,290	£809	£1,399	£0
Annabelle	Ewing	Perth	£19,394	£0	£18,234	£63,788	£14,209	£2,991	£440	£1,822	£0
Michael	Fabricant	Lichfield	£19,722	£0	£15,813	£62,361	£9,004	£186	£892	£952	£0
Michael	Fallon	Sevenoaks	£19,722	£0	£12,197	£56,237	£4,918	£0	£535	£1,829	£0
Paul	Farrelly	Newcastle-under-Lyme	£19,722	£0	£17,219	£71,731	£20,102	£2,175	£1,543	£1,877	£11,076
Frank	Field	Birkenhead	£16,608	£0	£9,814	£69,148	£11,106	£0	£900	£1,457	£0
Mark	Field	Cities of London & Westminster	£0	£1,527	£18,059	£72,246	£1,467	£0	£920	£1,469	£0
Mark	Fisher	Stoke-on-Trent Central	£17,932	£0	£17,925	£65,212	£10,923	£0	£1,113	£1,966	£0
Jim	Fitzpatrick	Poplar & Canning Town	£0	£1,527	£9,842	£65,192	£1,124	£0	£840	£1,929	£0
Lorna	Fitzsimons	Rochdale	£19,722	£0	£18,068	£61,053	£14,273	£272	£1,104	£1,786	£0
Howard	Flight	Arundel & South Downs	£19,722	£0	£18,234	£69,212	£3,924	£0	£1,120	£1,913	£0
Caroline	Flint	Don Valley	£19,718	£0	£18,230	£60,614	£11,073	£1,517	£1,303	£2,021	£0
Adrian	Flook	Taunton	£19,722	£0	£18,234	£65,596	£10,506	£658	£684	£1,968	£0
Paul	Flynn	Newport West	£15,637	£0	£18,174	£65,596	£7,379	£843	£807	£1,870	£0
Barbara	Follett	Stevenage	£19,722	£0	£18,220	£69,212	£1,878	£0	£2,013	£886	£3,335
Eric	Forth	Bromley & Chislehurst	£16,541	£0	£16,871	£70,500	£3,054	£0	£595	£1,899	£0
Derek	Foster	Bishop Auckland	£18,045	£0	£16,042	£65,596	£15,970	£2,274	£400	£977	£0
Don	Foster	Bath	£19,722	£0	£18,206	£63,740	£7,567	£568	£1,159	£1,914	£0
Michael	Foster	Worcester	£18,171	£0	£18,234	£65,596	£10,765	£542	£2,037	£1,966	£0
Michael Jabez	Foster	Hastings & Rye	£11,998	£0	£18,046	£63,788	£7,786	£72	£2,252	£1,989	£1,537
George	Foulkes	Carrick, Cumnock & Doon Valley	£19,704	£246	£10,004	£65,353	£21,838	£168	£1,395	£1,587	£0
Liam	Fox	Woodspring	£19,712	£0	£18,234	£69,212	£13,947	£0	£852	£1,821	£0
Hywel	Francis	Aberavon	£19,180	£0	£18,230	£65,596	£10,860	£255	£736	£1,973	£0
Mark	Francois	Rayleigh	£19,722	£0	£6,486	£54,440	£6,005	£0	£649	£1,525	£0
Roger	Gale	North Thanet	£19,558	£0	£17,572	£63,788	£9,524	£98	£3,093	£2,010	£0
George	Galloway	Glasgow, Kelvin	£18,900	£0	£16,899	£72,310	£9,748	£699	£705	£1,781	£5,717
Mike	Gapes	Ilford South	£19,722	£0	£18,234	£71,796	£6,419	£0	£965	£1,892	£0
Barry	Gardiner	Brent North	£19,722	£0	£18,234	£72,310	£11,411	£14	£1,736	£1,940	£0
Edward	Garnier	Harborough	£19,717	£0	£18,234	£51,557	£14,559	£979	£996	£1,969	£0
Andrew	George	St Ives	£19,722	£0	£18,234	£65,584	£23,232	£1,715	£2,070	£1,911	£5,803
Bruce	George	Walsall South	£17,897	£0	£17,999	£61,499	£8,573	£218	£633	£1,368	£0
Neil	Gerrard	Walthamstow	£0	£1,527	£13,671	£72,167	£922	£0	£1,101	£1,576	£0
Nick	Gibb	Bognor Regis & Littlehampton	£19,722	£0	£13,631	£64,498	£8,319	£0	£592	£1,489	£0
